Apellido del autor/a	Año	Título del artículo	Nombre de la revista	Recuperado deLink	Etiquetas	Idioma	Género del Autor/a
Curie, M.	2019	Investigaciones sobre las sustancias radiactivas	Mujeres con Ciencia	https://mujeresconciencia.com/2019/08/03/investigaciones-sobre-las-sustancias-radiactivas/	Acceso a oportunidades, Acceso a puestos de liderazgo, Educación, Desigualdad, Mujeres referentes, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas)	Español	Femenino
Arredondo Trapero, F., Vázquez Parra, J., y Velázquez Sánchez, L. 	2018	STEM y La Brecha de Género en Latinoamérica	Revista de El Colegio de San Luis 	http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-899X2019000100137	Acceso a oportunidades, Ámbito privado, Ámbito público, Educación, Desigualdad, Estrategias para la equidad, Estadísticas, Objetivos de Desarrollo Sostenible (ODS), Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Prácticas de inclusión, Trabajo	Español	Escriben múltiples autorxs (femeninos y masculinos)
Kasumovic , M., Kuznekoff, J.	2015	Insights into Sexism: Male Status and Performance Moderates Female-Directed Hostile and Amicable Behaviour	PLOS ONE	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0131613	Estereotipos/ prejuicios de género, Desigualdad, Estadísticas, Techo de cristal, Violencia de género	Inglés	Masculino
Jaimez. J., Martínez, S., Córdoba, V., Keymer, A., Martinez, R., Adegawa, M.,  y Gianni, M.	2016	Las mujeres en las empresas del sector TIC en Córdoba	Publicaciones de la UBP	https://www.ubp.edu.ar/wp-content/uploads/2014/05/9202016MI-Las-mujeres-en-empresas-sector-TIC-de-Cordoba.pdf	Acceso a oportunidades, Acceso a puestos de liderazgo, Ámbito privado, Ámbito público, Datos abiertos, Estrategias para la equidad, Estadísticas, Políticas públicas, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Recomendaciones de organismos, Trabajo	Español	Escriben múltiples autorxs (femeninos y masculinos)
Castaño, C.	2008	La Segunda Brecha Digital	Revista Española de Investigaciones Sociológicas	http://www.reis.cis.es/REIS/PDF/REIS_125_081231146032713.pdf	Acceso a oportunidades, Desigualdad, Trabajo	Español	Femenino
Jabbaz, M. , Samper-Gras , T. , Díaz, C.	2018	La brecha salarial de género en las instituciones científicas. Estudio de caso	Convergencia	http://www.ragcyt.org.ar/descargas/9111_doc.pdf	Ámbito público, Brecha salarial, Desigualdad, Equidad salarial, Feminismos, Políticas públicas, Trabajo, Sindicalismo	Español	Escriben múltiples autorxs (femeninos y masculinos)
Yang, Y., Whright, D.	2018	Microorganismos de genero en el entorno STEM	Mujeres con ciencia	https://mujeresconciencia.com/2018/06/06/microagresiones-de-genero-en-el-entorno-stem/	Desigualdad, Discriminación, Efectos psicológicos de la desigualdad de género, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas)	Español	Femenino
Magariños, P., Perez Bustos, T., Castillo, O., Benedetti, A.	2014	La industria del software y los servicios informáticos	Comisión Económica para América Latina y el Caribe (CEPAL)	https://repositorio.cepal.org/bitstream/handle/11362/36857/1/S1420253_es.pdf	Ámbito privado, Ámbito público, Diversidad, Estereotipos/ prejuicios de género, Desigualdad, Estrategias para la equidad, Feminismos, Objetivos de Desarrollo Sostenible (ODS), Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Trabajo, Tecnofeminismo	Español	Escriben múltiples autorxs (femeninos y masculinos)
Aguerre, C., y  Levy Daniel, M.	2018	Economía digital y mujeres. Una perspectiva desde Argentina	Cetys - Universidad de San Andrés	https://www.udesa.edu.ar/sites/default/files/economiadigitalymujeres.pdf	Acceso a puestos de liderazgo, Diversidad, Estrategias para la equidad, Equidad salarial, Estadísticas, Políticas públicas, Objetivos de Desarrollo Sostenible (ODS), Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Prácticas de inclusión	Español	Femenino
Cabral, B.	2008	Mujeres, conciencia de género y participación política	Fermentum	http://www.redalyc.org/articulo.oa?id=70517572004	Estereotipos/ prejuicios de género, Desigualdad, Feminismos, Políticas públicas	Español	Femenino
