Apellido del autor/a	 Fecha	Nombre del blog	Recuperado de (link)	Etiquetas	Idioma	Género del Autor/a
Malvido, U.	3 de febrero de 2013	Diversidad Corporativa	https://diversidadcorporativa.com/2013/02/03/sesgos-inconscientes-discriminacion-diversidad-inclusion/	Cultura empresarial, Diversidad, Estereotipos/ prejuicios de género, Discriminación	Español	Masculino
López-Bassols, V.	14 de julio de 2017	Puntos sobre la i	https://blogs.iadb.org/innovacion/es/mujeres-en-la-ciencia-que-no-estamos-midiendo/	Acceso a oportunidades, Acceso a puestos de liderazgo, Estereotipos/ prejuicios de género, Desigualdad, Estadísticas, Techo de cristal	Español	Masculino
Jiménez Cano, R.	12 de febrero de 2018	Fundación Lúminis	https://www.fundacionluminis.org.ar/educacion-y-genero/timido-e-insuficiente-metoo-silicon-valley	Cultura empresarial, Estereotipos/ prejuicios de género, Desigualdad, Discriminación, Efectos psicológicos de la desigualdad de género, Estrategias para la equidad, Mujeres referentes, Techo de cristal, Trabajo, Violencia de género	Español	Femenino
Grazzi, M.	23 de mayo de 2018	Puntos sobre la I	https://blogs.iadb.org/puntossobrelai/2018/05/23/brechas-de-genero-en-cienci	Acceso a puestos de liderazgo, Ámbito privado, Brecha salarial, Diversidad, Educación, Estereotipos/ prejuicios de género, Desigualdad, Equidad salarial, Estadísticas, Techo de cristal, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Trabajo	Español	Masculino
Sequera, M. y Giménez, B.	2017	Cyborgfeministas	https://cyborgfeminista.tedic.org/brecha-digital-de-genero-abordando-el-desafio-de-un-ecosistema-libre-de-violencia/	Acceso a puestos de liderazgo, Brecha salarial, Desigualdad, Techo de cristal, Violencia de género	Español	Escriben múltiples autorxs (femeninos y masculinos)
Lauer, M.	22 de julio de 2019	Extramural Nexus	https://nexus.od.nih.gov/all/2019/07/22/achieving-gender-equity-at-conferences/	Estereotipos/ prejuicios de género, Desigualdad, Estrategias para la equidad, Mujeres referentes, Techo de cristal, Políticas públicas, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Prácticas de inclusión	Inglés	Masculino
Milligan, P.	2 de octubre de 2018 	Mercer	https://www.latam.mercer.com/our-thinking/voice-on-growth/obstaculos-para-crear-mayor-equilibrio-de-genero.html?mkt_tok=eyJpIjoiWm1ZNVkyVmlNMk5oTVRsaCIsInQiOiJETHJEb0pzdmE0ZTREd2p0TDM3YkdJSzFYQXRqaGRtd2krT2VnNUo1aXJlZU5pcFVDVVpsTE5QZmloZ0djNzZGMldiVFBcL0xxZzFubXY0dnZkZ1g4amtsVkFNbkJ3aEFiaGhCTzlXTlhLYVFWb0xJZUpcL254QVhKenN6N3k0cmw4bEpwTW5YUVFQOVQ1VmM1QU1KYWdOUT09In0%3D	Cultura empresarial, Estadísticas, Trabajo	Español	Femenino
Kahoot	enero de 2019	STEM Role Models: Test Your Knowledge	https://create.kahoot.it/details/stem-role-models-test-your-knowledge/	Acceso a oportunidades, Acceso a puestos de liderazgo, Brecha salarial, Diversidad, Estereotipos/ prejuicios de género, Desigualdad, Feminismos, Mujeres referentes, Techo de cristal, Trabajo	Inglés	Escriben múltiples autorxs (femeninos y masculinos)
Galluci	26 de junio de 2017	MASHABLE	https://mashable.com/2017/01/26/girls-gender-stereotype-study/	Estereotipos/ prejuicios de género, Niñez	Inglés	Femenino
Garner, R.	11 de julio de 2016	CNet	https://www.cnet.com/news/silicon-valley-tech-companies-men-behaving-badly/	Acceso a puestos de liderazgo, Cultura empresarial, Diversidad, Estereotipos/ prejuicios de género, Desigualdad, Discriminación, Estadísticas, Violencia de género	Inglés	Masculino
Seiter, C.	19 de abril de 2016	Buffer	https://open.buffer.com/diversity-in-technology/	Acceso a oportunidades, Diversidad, Discriminación, Prácticas de inclusión, Trabajo	Inglés	Femenino
						
						
						
						
						
						
