ApellidoAutor	Año	Título	NombreDiario	RecuperadodeLink	Etiquetas	GéneroAutor	Idioma
Terrile, S.	3 de octubre de 2018	La brecha de género tiene fecha de vencimiento	La Nación	https://www.lanacion.com.ar/2178045-la-brecha-genero-tiene-fecha-vencimiento	Ámbito público, Desigualdad, Mujeres referentes, Políticas públicas, Objetivos de Desarrollo Sostenible (ODS), Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas)	Femenino	Español
Sin datos	22 de marzo de 2019	Matemáticas argentinas: aún no se cuentan en multitud pero sus logros se multiplican	Telam	https://www.telam.com.ar/notas/201903/343278-matematicas-argentinas-aun-no-se-cuentan-en-multitud-pero-sus-logros-se-multiplican.html	Educación, Estereotipos/ prejuicios de género, Desigualdad, Trabajo	No puedo determinarlo	Español
Pallarés, G.	23 de octubre de 2018	“Sin igualdad de datos no puede haber igualdad de género”	El Pais	https://elpais.com/elpais/2018/10/22/planeta_futuro/1540204547_680495.html	Datos abiertos, Desigualdad, Estadísticas, Políticas públicas, Recomendaciones de organismos	Femenino	Español
Portillo, Z.	21 de enero de 2015	Perú: paridad de género en becas de posgrado en CyT	SciDevNet	https://www.scidev.net/america-latina/genero/noticias/peru-paridad-de-genero-en-becas-de-posgrado-en-cyt.html	Acceso a oportunidades, Ámbito público, Educación, Estereotipos/ prejuicios de género, Desigualdad, Discriminación, Efectos psicológicos de la desigualdad de género, Políticas públicas, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Prácticas de inclusión	Femenino	Español
Sin datos	17 de abril de 2017	Entrevista a Rosana Hadad Salomón	La Gaceta	https://www.lagaceta.com.ar/nota/803760/lgplay/se-necesitan-mujeres-ingenieras-piensan-variables-veces-hombre-no-contempla.html	Mujeres referentes, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Prácticas de inclusión	Masculino	Español
Portillo, Z	8 de marzo de 2019	Proyecto ayuda a disminuir estereotipos de género en STEM	SciDevNet	https://www.scidev.net/america-latina/genero/noticias/proyecto-ayuda-a-disminuir-estereotipos-de-genero-en-stem.html	Acceso a oportunidades, Educación, Estereotipos/ prejuicios de género, Niñez, Desigualdad, Efectos psicológicos de la desigualdad de género, Estrategias para la equidad, Estadísticas, Mujeres referentes, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Prácticas de inclusión, Trabajo, Tecnofeminismo	Femenino	Español
Costa, C	9 de marzo de 2019	Día de la Mujer: 6 gráficos que muestran cómo avanzaron (o no) las mujeres en América Latina	BBC	https://www.bbc.com/mundo/noticias-america-latina-47490978 	Acceso a oportunidades, Acceso a puestos de liderazgo, Ámbito privado, Cultura empresarial, Diversidad, Educación, Estereotipos/ prejuicios de género, Desigualdad, Estrategias para la equidad, Estadísticas, Políticas públicas, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Prácticas de inclusión, Trabajo	Femenino	Español
Lara, H.	15 de febrero 2019	Podés ser una chica tecno	Rio Negro	https://docs.google.com/spreadsheets/d/1vYCvjFDuCgyrK8I7fwjUOfETpc8QHauWsCaQ9_4DAbk/edit#gid=0	Acceso a oportunidades, Educación, Estereotipos/ prejuicios de género, Mujeres referentes	Masculino	Español
Ely, K.	8 de septiembre de 2015	The World is Designed for Men	HH Design	http://cor.to/Gug3	Estereotipos/ prejuicios de género, Diseño con perspectiva de genero 	Femenino	Inglés
Sin datos	17 de abril de 2019	"Se necesitan mujeres ingenieras; piensan variables que a veces el hombre no contempla"	LA GACETA	https://www.lagaceta.com.ar/nota/803760/lgplay/se-necesitan-mujeres-ingenieras-piensan-variables-veces-hombre-no-contempla.html	Estereotipos/ prejuicios de género, Desigualdad, Mujeres referentes, Tecnofeminismo	No puedo determinarlo	Español
