Nombre de la organización	Año	Título	Número de la publicación	Recuperado de (link)	Etiquetas	Idioma	Género del Autor/a												
Red Argentina de Género, Ciencia y Tecnología (RAGCYT ) y Consejo Nacional de Investigaciones Científias y Técnicas (CONICET)	2016	DESIGUALDADES DE GÉNERO DE LAS TRAYECTORIAS CIENTÍFICAS	sin datos	http://www.ragcyt.org.ar/descargas/5865_doc.pdf	Acceso a puestos de liderazgo, Ámbito público, Desigualdad, Discriminación, Estadísticas, Techo de cristal, Políticas públicas, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas)	Español	Femenino												
Idea	2016	Igualdad de oportunidades para la mujer en la empreesa	2 / 2016	https://drive.google.com/file/d/1FfQeVHkbR-r2fPdI-P1nDTFBylnH18L-/view	Acceso a oportunidades, Acceso a puestos de liderazgo, Diversidad, Desigualdad, Techo de cristal, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Trabajo	Español	Masculino												
Stack Overflow	2019	Developer Survey Results	sin datos	https://insights.stackoverflow.com/survey/2019#overview	Diversidad, Datos abiertos, Estadísticas, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Trabajo	Inglés	No puedo determinarlo												
CEPAL	2013	Mujeres en la Economía Digital - Superar el Umbral de la Desigualdad	sin datos	https://repositorio.cepal.org/bitstream/handle/11362/16561/1/S2013579_es.pdf	Acceso a oportunidades, Acceso a puestos de liderazgo, Ámbito privado, Ámbito público, Brecha salarial, Cultura empresarial, Diversidad, Educación, Estereotipos/ prejuicios de género, Equidad salarial, Estadísticas, Techo de cristal, Políticas públicas, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Trabajo, Trabajo no remunerado	Español	Escriben múltiples autorxs (femeninos y masculinos)												
OECD	2018	Bridging the Digital Divide - Include, Upskill, Innovate	sin datos	http://www.oecd.org/internet/bridging-the-digital-gender-divide.pdf	Acceso a oportunidades, Ámbito privado, Ámbito público, Brecha salarial, Educación, Estereotipos/ prejuicios de género, Estrategias para la equidad, Equidad salarial, Estadísticas, Techo de cristal, Políticas públicas, Objetivos de Desarrollo Sostenible (ODS), Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Prácticas de inclusión, Recomendaciones de organismos, Trabajo	Inglés	Escriben múltiples autorxs (femeninos y masculinos)												
BID	2019	¿Cuántos años se necesitarán para cerrar la brecha de género en el mundo? Empleo Femenino Más Alla De Las Estadísticas	sin datos	www.iadb.org/es	Brecha salarial, Educación, Estereotipos/ prejuicios de género, Desigualdad, Equidad salarial, Estadísticas, Techo de cristal, Políticas públicas, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Prácticas de inclusión, Trabajo, Trabajo no remunerado	Español	Escriben múltiples autorxs (femeninos y masculinos)												
Fundacion Sadosky	2013	Y las Mujeres... ¿Dónde están?	sin datos	http://www.fundacionsadosky.org.ar/wp-content/uploads/2015/05/resumen-mujeres-y-computacion-2013.pdf	Acceso a puestos de liderazgo, Brecha salarial, Educación, Desigualdad, Políticas públicas, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Trabajo	Español	No puedo determinarlo												
The Royal Institute of International Affairs Chatham House	2017	Gender-smart Procurement Policies for Driving Change	sin datos	https://www.chathamhouse.org/sites/default/files/publications/research/Gender-smartProcurement2020.12.2017.pdf	Acceso a puestos de liderazgo, Ámbito público, Cultura empresarial, Techo de cristal, Políticas públicas, Prácticas de inclusión, Recomendaciones de organismos	Inglés	Femenino												
UAI	2018	LA MUJER, EL FUTURO Y LA TECNOLOGÍA	sin datos	https://noticias.uai.edu.ar	Acceso a puestos de liderazgo, Educación, Estereotipos/ prejuicios de género, Niñez, Desigualdad, Discriminación, Efectos psicológicos de la desigualdad de género, Estrategias para la equidad, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Prácticas de inclusión	Español	No puedo determinarlo												
Instituto idesa	2019	Reducir la brecha de género reduce la brecha social	14	https://idesa.org/reducir-la-brecha-de-genero-reduce-la-brecha-social/	Brecha salarial, Cultura empresarial, Estereotipos/ prejuicios de género, Discriminación, Efectos psicológicos de la desigualdad de género, Estrategias para la equidad, Estadísticas, Políticas públicas, Trabajo	Español	Organismos												
Idea	2017	¿Qué significa ser iguales?	sin datos	https://www.idea.org.ar/wp-content/uploads/2018/06/IDEA-ESE-Qu%C3%A9-significa-ser-iguales-Informe-de-Resultados.pdf	Acceso a oportunidades, Acceso a puestos de liderazgo, Cultura empresarial, Diversidad, Estereotipos/ prejuicios de género, Desigualdad, Discriminación, Efectos psicológicos de la desigualdad de género, Efectos en la salud de la desigualdad de género, Estadísticas, Techo de cristal, Salud mental, Tecnofeminismo	Español	Masculino												
UNIFEM es el Fondo de Desarrollo de las Naciones Unidas para la Mujer	2010	Justicia de Género: Clave para Alcanzar los Objetivos de Desarrollo del Milenio	9	http://www.unwomen.org/-/media/headquarters/media/publications/es/	Acceso a oportunidades, Diversidad, Estereotipos/ prejuicios de género, Niñez, Desigualdad, Discriminación, Efectos psicológicos de la desigualdad de género, Efectos en la salud de la desigualdad de género, Objetivos de Desarrollo Sostenible (ODS), Recomendaciones de organismos	Español	No puedo determinarlo												
Red Argentina de Género Ciencia y Tecnología	2018	Comunicado W20 Argentina 2018	sin datos	http://ragcyt.org.ar	Acceso a oportunidades, Acceso a puestos de liderazgo, Brecha salarial, Cultura empresarial, Desigualdad, Estrategias para la equidad, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Prácticas de inclusión, Trabajo, Derechos	Español	Organismos												
ONU	2019	Día Internacional las Mujeres y las Niñas en la Ciencia, 11 de febrero	sin datos	http://www.onu.cl/es/dia-internacional-las-mujeres-y-las-ninas-en-la-ciencia-11-de-febrero/	Diversidad, Estereotipos/ prejuicios de género, Desigualdad, Equidad salarial, Estadísticas, Feminismos, Objetivos de Desarrollo Sostenible (ODS), Trabajo no remunerado, Tecnofeminismo	Español	No puedo determinarlo												
#lasniñaspueden	2018	Género, Educación y Trabajo: Avances, contrastes y retos de tres generaciones	sin datos	http://informeget.cl/	Acceso a oportunidades, Brecha salarial, Educación, Niñez, Desigualdad, Trabajo, Trabajo no remunerado, Crecimiento de generacion a generacion	Español	Organismos												
Comisión Europea	2018	Women in digital scoreboard	sin datos	https://ec.europa.eu/digital-single-market/en/women-digital-scoreboard	Acceso a oportunidades, Ámbito privado, Ámbito público, Brecha salarial, Educación, Desigualdad, Equidad salarial, Estadísticas, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas)	Inglés	Femenino												
International Finance Corporation (IFC)	2016	Full Report: Putting Gender Smart Commitments Into Practice 	sin datos	https://www.ifc.org/wps/wcm/connect/de9a7ee8-940a-450a-bb19-eb452f9fa08e/SheWorks+Final+Report.pdf	Acceso a oportunidades, Acceso a puestos de liderazgo, Cultura empresarial, Estereotipos/ prejuicios de género, Discriminación, Estrategias para la equidad, Techo de cristal, Recomendaciones de organismos, Acoso laboral/Acoso Sexual	Inglés	Organismos												
Digital Economy and Skills from European Comission	2019	Women inn Digital Scoreboard 2019 - Country Reports	sin datos	https://ec.europa.eu/digital-single-market/en/news/women-digital-scoreboard-2019-country-reports	Acceso a oportunidades, Ámbito privado, Estadísticas	Inglés	Femenino												
SITEAL	2015	NIÑAS Y MUJERES DE AMÉRICA LATINA EN EL MAPA TECNOLÓGICO: UNA MIRADA DE GÉNERO EN EL MARCO DE POLÍTICAS PÚBLICAS  DE INCLUSIÓN DIGITAL	sin datos	http://archivo.siteal.iipe.unesco.org/	Acceso a oportunidades, Ámbito público, Educación, Niñez, Estrategias para la equidad, Estadísticas, Políticas públicas	Español	Femenino												
