Apellido del autor/a	Año	Título	Capítulo número,  y Título del Capítulo	Recuperado de (link	Etiquetas	Idioma	Género del Autor/a															
Chavatzia, T. 	2017	Descifrar el código: La educación de las niñas y las mujeres en ciencias, tecnología, ingeniería y matemáticas (STEM)		http://unesdoc.unesco.org/images/0025/002534/253479E.pdf	Acceso a oportunidades, Educación, Estereotipos/ prejuicios de género, Niñez, Desigualdad, Discriminación, Estrategias para la equidad, Estadísticas, Políticas públicas, Objetivos de Desarrollo Sostenible (ODS), Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Prácticas de inclusión, Recomendaciones de organismos	Español	Escriben múltiples autorxs (femeninos y masculinos)															
"Giordano Lerena, R.; Paez Pino, A."	2019	Matilda y las mujeres en ingeniería en América Latina		http://laccei.org/index.php/matilda-y-las-mujeres-en-ingenieria-en-america-latina/	Acceso a oportunidades, Acceso a puestos de liderazgo, Ámbito privado, Ámbito público, Educación, Estereotipos/ prejuicios de género, Desigualdad, Discriminación, Efectos psicológicos de la desigualdad de género, Mujeres referentes, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Trabajo, Tecnofeminismo	Español	Femenino															
Paez Pino A.	2019	Matilda, mujeres en ingeniería en America Latina		https://confedi.org.ar/download/Libro-MATILDA-y-las-mujeres-en-ingenieria-en-America-Latina-CONFEDI-LACCEI-2019.pdf	Estereotipos/ prejuicios de género, Efectos psicológicos de la desigualdad de género, Feminismos, Mujeres referentes, Tecnofeminismo	Español	Femenino															
Macho Stadler, M.	2018	Mujeres matemáticas. Trece matemáticas, trece espejos	Capítulo 0: Prólogo	https://aprenderapensar.net/wp-content/uploads/2019/01/Primerasp%C3%A1ginas_mujeres_matematicas-6.pdf	Educación, Estereotipos/ prejuicios de género, Desigualdad, Estrategias para la equidad, Mujeres referentes, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas)	Español	Escriben múltiples autorxs (femeninos y masculinos)															
Bloj C.	2017	Trayectoria de mujeres		https://repositorio.cepal.org/handle/11362/41230	Educación, Políticas públicas	Español	Femenino															
Benya, F., Widnall, S., Johnson, P.	2018	Sexual Harassment of Women	Summary	https://www.ncbi.nlm.nih.gov/books/NBK507206/	Discriminación, Efectos psicológicos de la desigualdad de género, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Trabajo, Violencia de género, Acoso sexual	Inglés	Escriben múltiples autorxs (femeninos y masculinos)															
ONU Mujeres	2017	El Progreso de las Mujeres en América Latina y el Caribe 2017		http://lac.unwomen.org/es/digiteca/publicaciones/2016/12/el-progreso-de-las-mujeres-america-latina-y-el-caribe-2017	Brecha salarial, Desigualdad, Estrategias para la equidad, Equidad salarial, Techo de cristal, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Trabajo, Tecnofeminismo, Empoderamiento economico de las mujeres	Español	Organismos															
UNESCO	2017	Cracking the code: girls' and women's education in science, technology, engineering and mathematics (STEM)	Capítulo 3: Interventions that help increase girls’ and women’s interest in, and engagement with, STEM education 	https://unesdoc.unesco.org/ark:/48223/pf0000253479	Ámbito público, Educación, Estereotipos/ prejuicios de género, Desigualdad, Estrategias para la equidad, Equidad salarial, Estadísticas, Objetivos de Desarrollo Sostenible (ODS), Recomendaciones de organismos, Tecnofeminismo	Inglés	Organismos															
Lapeña Gallego, G.	2015	Descubriendo científicas		http://fseneca.es/web/sites/web/files/descubriendo-cientificas.pdf	Acceso a oportunidades, Acceso a puestos de liderazgo, Educación, Estereotipos/ prejuicios de género, Desigualdad, Discriminación, Efectos psicológicos de la desigualdad de género, Efectos en la salud de la desigualdad de género, Feminismos, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Trabajo	Español	Femenino															
"Sorkin S., Sancho Ortega  T. , Calero Blanco V. y Villena Camarero, U.
"	2017	La ciencia que se esconde en los saberes de las mujeres	La desigualdad es cosa del género, las mujeres que hacen ciencia	http://www.sorkinsaberes.org/sites/default/files/archivos/sorkin_guia_completa_cas.pdf	Educación, Estereotipos/ prejuicios de género, Desigualdad, Discriminación, Efectos psicológicos de la desigualdad de género, Efectos en la salud de la desigualdad de género	Español	Escriben múltiples autorxs (femeninos y masculinos)															
