Organización o Apellido del Autor/a	País de publicación	Nombre de la página web	Título	Recuperado de (link)	Etiquetas	Idioma	Género del Autor/a																		
Ministerio de Educación, Cultura, Ciencia y Tecnología	Argentina	Equidad de Género en Ciencia, Tecnología e Innovación	Equidad de Género en Ciencia, Tecnología e Innovación	https://www.argentina.gob.ar/ciencia/sact/equidad-de-genero-en-ciencia-tecnologia-e-innovacion	Ámbito público, Datos abiertos, Estadísticas, ACCIONES EN GENERO	Español	No puedo determinarlo																		
UN Women	África	UN Women	UN Secretary-General to African girl coders: It needs a movement of girls to bring more women in science and technology 	https://www.unwomen.org/en/news/stories/2019/2/news-un-secretary-general-meets-african-girl-coders	Acceso a oportunidades, Tecnofeminismo	Inglés	No puedo determinarlo																		
Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura (OEI)	España	Red Iberoamericana de Comunicación y Divulgación de Información Científica 	Las relaciones entre la ciencia, la tecnología y el género en Bilbao	https://www.oei.es/historico/divulgacioncientifica/?Las-relaciones-entre-la-ciencia-la-tecnologia-y-el-genero-en-Bilbao	Ámbito privado, Ámbito público, Educación, Desigualdad, Mujeres referentes, Políticas públicas, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Trabajo	Español	No puedo determinarlo																		
Universidad de Alcalá	España	Portal de Comunicaciones - Universidad de Alcalá	Portal de Comunicaciones	http://portalcomunicacion.uah.es/diario-digital/reportaje/mujeres-en-la-ciencia-donde-estan-los-obstaculos.html	Brecha salarial, Educación, Techo de cristal, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Prácticas de inclusión, Tecnofeminismo	Español	Escriben múltiples autorxs (femeninos y masculinos)																		
Sin Datos	Argentina	Conexión Intal	Conexión Intal	http://conexionintal.iadb.org/2018/08/07/industria-4-0-fabricando-el-futuro-2/	Acceso a oportunidades, Ámbito privado, Ámbito público, Educación, Objetivos de Desarrollo Sostenible (ODS), Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Trabajo, Sindicalismo	Español	Escriben múltiples autorxs (femeninos y masculinos)																		
Mercado Gurrola	Argentina	Linkedin	El Libro Negro de la Otredad y lo Desigual	https://www.linkedin.com/pulse/el-libro-negro-de-la-otredad-apertura-1-arturo-mercado-gurrola/?trackingId=ILgj5ugj1UTj8%2FpYt8rPXg%3D%3D	Estereotipos/ prejuicios de género, Desigualdad, Discriminación, Efectos psicológicos de la desigualdad de género, Efectos en la salud de la desigualdad de género	Español	Masculino																		
Florito J., Caro Sachetti, F.	Argentina	CIPPEC.ORG	Se necesitan políticas para promover la equidad de género en la ciencia, la tecnología, la ingeniería y la matemática	https://www.cippec.org/textual/se-necesitan-politicas-para-promover-la-equidad-de-genero-en-la-ciencia-la-tecnologia-la-ingenieria-y-la-matematica/	Acceso a oportunidades, Ámbito público, Educación, Niñez, Desigualdad, Políticas públicas, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Trabajo	Español	Escriben múltiples autorxs (femeninos y masculinos)																		
"Diaz Langou, Gala; Thomas, Margo"	Argentina	Gender Economic Equity	Gender Economic Equity	https://t20argentina.org/wp-content/uploads/2018/09/Gender-Economic-Equity-WEB-1.pdf	Brecha salarial, Desigualdad, Estrategias para la equidad, Trabajo	Inglés	Escriben múltiples autorxs (femeninos y masculinos)																		
Cheng, R.	Estados Unidos	CNET	Women in tech: The numbers don't add up	https://www.cnet.com/news/women-in-tech-the-numbers-dont-add-up/	Acceso a oportunidades, Acceso a puestos de liderazgo, Ámbito privado, Brecha salarial, Cultura empresarial, Diversidad, Estadísticas, Trabajo	Inglés	Masculino																		
Briccola, V.	Argentina	Visibles - Portal de Género y Diversidad	El mundo lejos de la equidad de género en el ámbito laboral	http://cor.to/Gug6	Ámbito público, Diversidad, Estereotipos/ prejuicios de género, Políticas públicas	Español	Femenino																		
