Apellido del autor/a	 Año	Título	Nombre de la revista	link	Etiquetas	Idioma	Género del Autor/a
K, Ellingru., A, Madgavkar., J, Manyika., J, Woetzel., V, Riefberg., M, Krishnan., M, Seoni.	2017, agosto	La incesante marea revolucionaria	Mercado	https://assets.kpmg/content/dam/kpmg/ar/pdf/encuesta-de-equidad-de-genero-en-las-empresas.pdf	Acceso a puestos de liderazgo, Ámbito privado, Cultura empresarial, Estereotipos/ prejuicios de género, Desigualdad, Estrategias para la equidad, Estadísticas, Mujeres referentes, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Prácticas de inclusión, Trabajo	Español	Escriben múltiples autorxs (femeninos y masculinos)
Parker, T. J ;Horowitx, M. , Ystepler, R.	2017, 5 de diciembre	How do your views on gender compare with those of other Americans?	Pew research	http://cor.to/Guga	Acceso a oportunidades, Estereotipos/ prejuicios de género, Desigualdad	Inglés	Escriben múltiples autorxs (femeninos y masculinos)
Beni Uzabal, C.	2019, marzo	Apasionadas por la ciencia	Revista Española de Defensa 	http://www.defensa.gob.es/Galerias/gabinete/red/2019/03/p-24-29-red-359-mujeres.pdf	Ámbito público, Mujeres referentes, Objetivos de Desarrollo Sostenible (ODS), Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Trabajo	Español	Femenino
Cañete, I y Cabirta, A.	2019, 11 de febrero	Mujeres y niñas en la ciencia, todavía queda camino por recorrer	BBVA	https://www.bbva.com/es/mujeres-y-ninas-en-la-ciencia-todavia-queda-camino-por-recorrer/	Niñez, Estadísticas, Mujeres referentes	Español	Femenino
Hannah Devlin 	2018, 24 de  julio	Academic writes 270 Wikipedia pages in a year to get female scientists noticed	The Guardian	https://www.theguardian.com/education/2018/jul/24/academic-writes-270-wikipedia-pages-year-female-scientists-noticed	Estereotipos/ prejuicios de género, Desigualdad, Estadísticas, Mujeres referentes, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Prácticas de inclusión	Inglés	Femenino
Kindelan, K	2019, 7 de mayo	Female scientists start a database to showcase their work. Over 9,000 women join them	Good Morning America	https://www.yahoo.com/gma/female-scientists-start-database-showcase-over-9-000-080321131--abc-news-lifestyle.html	Estrategias para la equidad, Mujeres referentes, Prácticas de inclusión, Trabajo	Inglés	Femenino
Leander, S	2018, 4 de febero	Not smart enough? Men overestimate intelligence in science class	NEWS	https://www.nbcnews.com/health/health-news/not-smart-enough-men-overestimate-intelligence-science-class-n862801	Estereotipos/ prejuicios de género, Desigualdad, Efectos psicológicos de la desigualdad de género, Techo de cristal, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Salud mental	Inglés	Femenino
Sin datos	2018, 28 de noviembre	Las mujeres todavía ganan 20 por ciento menos que los hombres	ComunicarSe	https://www.comunicarseweb.com/noticia/las-mujeres-todavia-ganan-20-por-ciento-menos-que-los-hombres?utm_source=emBlue&utm_medium=email&utm_campaign=NEWSLETTER%20N%C2%B0808&utm_content=envio--Brecha%20salarial%20de%20g%C3%A9nero%20I%20DDHH%20en%20el%20sector%20automotriz&utm_term=multiple--7--none--70-80--ENVIO%20SIMPLE	Brecha salarial, Educación, Estereotipos/ prejuicios de género, Desigualdad, Equidad salarial, Estadísticas, Trabajo	Español	No puedo determinarlo
Beni, C.	2019, marzo	Apasionadas por la ciencia	Revista Española de Defensa	http://www.defensa.gob.es/Galerias/gabinete/red/2019/03/p-24-29-red-359-mujeres.pdf	Acceso a oportunidades, Acceso a puestos de liderazgo, Estereotipos/ prejuicios de género, Mujeres referentes, Trabajo, Tecnofeminismo	Español	Femenino
Ehrenkranz, E	2013, 23 de septiembre	Women in leadership and IT roles in tech are more likely to experience sexual harassment	MIC	https://www.mic.com/articles/154973/women-in-leadership-and-it-roles-in-tech-are-more-likely-to-experience-sexual-harassment#.XHRfmK9JS	Acceso a puestos de liderazgo, Ámbito privado, Cultura empresarial, Estereotipos/ prejuicios de género, Discriminación, Efectos psicológicos de la desigualdad de género, Techo de cristal, Acoso sexual 	Inglés	Femenino
