ApellidoAutor	 Año	Titulo	NombreRevista	link	Etiquetas	Idioma	GéneroAutor
Ellingru K., Madgavkar A.,  Manyika  J., Woetzel J., Riefberg V., Krishnan M., Seoni M.	2017, agosto	La incesante marea revolucionaria	Mercado	https://assets.kpmg/content/dam/kpmg/ar/pdf/encuesta-de-equidad-de-genero-en-las-empresas.pdf	Acceso a puestos de liderazgo, Ámbito privado, Cultura empresarial, Estereotipos/ prejuicios de género, Desigualdad, Estrategias para la equidad, Estadísticas, Mujeres referentes, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Prácticas de inclusión, Trabajo	Español	Escriben múltiples autorxs (femeninos y masculinos)
Parker, T. J , Horowitx, M. , Ystepler, R.	2017, 5 de diciembre	How do your views on gender compare with those of other Americans?	Pew research	http://cor.to/Guga	Acceso a oportunidades, Estereotipos/ prejuicios de género, Desigualdad	Inglés	Escriben múltiples autorxs (femeninos y masculinos)
Beni Uzabal, C.	2019, marzo	Apasionadas por la ciencia	Revista Española de Defensa 	http://www.defensa.gob.es/Galerias/gabinete/red/2019/03/p-24-29-red-359-mujeres.pdf	Ámbito público, Mujeres referentes, Objetivos de Desarrollo Sostenible (ODS), Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Trabajo	Español	Femenino
Cañete, I. y Cabirta, A.	2019, 11 de febrero	Mujeres y niñas en la ciencia, todavía queda camino por recorrer	BBVA	https://www.bbva.com/es/mujeres-y-ninas-en-la-ciencia-todavia-queda-camino-por-recorrer/	Niñez, Estadísticas, Mujeres referentes	Español	Femenino
Hannah Devlin 	2018, 24 de  julio	Academic writes 270 Wikipedia pages in a year to get female scientists noticed	The Guardian	https://www.theguardian.com/education/2018/jul/24/academic-writes-270-wikipedia-pages-year-female-scientists-noticed	Estereotipos/ prejuicios de género, Desigualdad, Estadísticas, Mujeres referentes, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Prácticas de inclusión	Inglés	Femenino
Kindelan, K.	2019, 7 de mayo	Female scientists start a database to showcase their work. Over 9,000 women join them	Good Morning America	https://www.yahoo.com/gma/female-scientists-start-database-showcase-over-9-000-080321131--abc-news-lifestyle.html	Estrategias para la equidad, Mujeres referentes, Prácticas de inclusión, Trabajo	Inglés	Femenino
Leander, S.	2018, 4 de febero	Not smart enough? Men overestimate intelligence in science class	NEWS	https://www.nbcnews.com/health/health-news/not-smart-enough-men-overestimate-intelligence-science-class-n862801	Estereotipos/ prejuicios de género, Desigualdad, Efectos psicológicos de la desigualdad de género, Techo de cristal, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Salud mental	Inglés	Femenino
Sin datos	2018, 28 de noviembre	Las mujeres todavía ganan 20 por ciento menos que los hombres	ComunicarSe	https://www.comunicarseweb.com/noticia/las-mujeres-todavia-ganan-20-por-ciento-menos-que-los-hombres	Brecha salarial, Educación, Estereotipos/ prejuicios de género, Desigualdad, Equidad salarial, Estadísticas, Trabajo	Español	No puedo determinarlo
Beni, C.	2019, marzo	Apasionadas por la ciencia	Revista Española de Defensa	http://www.defensa.gob.es/Galerias/gabinete/red/2019/03/p-24-29-red-359-mujeres.pdf	Acceso a oportunidades, Acceso a puestos de liderazgo, Estereotipos/ prejuicios de género, Mujeres referentes, Trabajo, Tecnofeminismo	Español	Femenino
Ehrenkranz, E.	2013, 23 de septiembre	Women in leadership and IT roles in tech are more likely to experience sexual harassment	MIC	https://www.mic.com/articles/154973/women-in-leadership-and-it-roles-in-tech-are-more-likely-to-experience-sexual-harassment#.XHRfmK9JS	Acceso a puestos de liderazgo, Ámbito privado, Cultura empresarial, Estereotipos/ prejuicios de género, Discriminación, Efectos psicológicos de la desigualdad de género, Techo de cristal, Acoso sexual 	Inglés	Femenino
Dewey, C.	2015, 20 julio	Men who harass women online are quite literally losers, new study finds	The washington post	https://www.washingtonpost.com/news/the-intersect/wp/2015/07/20/men-who-harass-women-online-are-quite-literally-losers-new-study-finds/	Estereotipos/ prejuicios de género, Discriminación, Violencia de género	Inglés	Femenino
UNESCO	Sin datos	Empowering girls in STEM: ten things that fathers can do	TEQTOGETHER	https://teqtogether.org/guidance-notes/empowering-girls-in-stem-ten-things-that-fathers-can-do/	Educación, Niñez, Estrategias para la equidad, Consejos para padres	Inglés	No puedo determinarlo
Anton, M.	2019, 23 de enero	2019: un año para ser crativos y ordenados	El Cronista	https://www.cronista.com/management/2019-un-ano-para-ser-creativos-y-ordenados-20190123-0002.html	Acceso a oportunidades, Acceso a puestos de liderazgo, Diversidad, Estereotipos/ prejuicios de género, Desigualdad, Discriminación, Feminismos, Trabajo, Violencia de género, Tecnofeminismo	Español	Femenino
Metcalf, H.	-2010	Stuck in the Pipeline: A Critical Review of STEM Workforce Literature	InterActions: UCLA Journal of Education and Information Studies	https://escholarship.org/uc/item/6zf09176	Datos abiertos, Estadísticas, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Tecnofeminismo	Inglés	Femenino
Piñero, A.	2019, 8 de marzo	Niñas = Niños. Cambiando los estereotipos de género en STEAM	Enfoque Educación, BID	https://blogs.iadb.org/educacion/es/ninas-varones-cambiando-los-estereotipos-de-genero-en-steam/	Estereotipos/ prejuicios de género, Niñez, Estrategias para la equidad, Mujeres referentes, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas)	Español	Femenino
The Economist	2019, 3 de mayo	The vile experiences of women in tech	The Economist	https://www.economist.com/open-future/2019/05/03/the-vile-experiences-of-women-in-tech	Acceso a oportunidades, Acceso a puestos de liderazgo, Ámbito privado, Brecha salarial, Cultura empresarial, Diversidad, Estadísticas, Trabajo	Inglés	Organismos
Taves M.	2015, 3 de diciembre	Silicon Valley just had a 'binders full of women' moment	CNET	https://www.cnet.com/news/silicon-valley-just-had-its-binders-full-of-women-moment-again/	Ámbito privado, Cultura empresarial, Desigualdad, Discriminación, Trabajo	Inglés	Masculino
Nicolini, C.	2019, 31 de julio	Cómo romper el techo de silicio que oprime a las mujeres en tecnología	MIT Technology Review	https://www.technologyreview.es/s/11227/como-romper-el-techo-de-silicio-que-oprime-las-mujeres-en-tecnologia	Educación, Desigualdad, Discriminación, Techo de cristal, Trabajo	Español	Femenino
 Allen-Ramdial, S., Campbell, A.	2014, julio	Reimagining the Pipeline: Advancing STEM Diversity, Persistence, and Success	BioScience	https://watermark.silverchair.com/biu076.pdf	Acceso a oportunidades, Cultura empresarial, Diversidad, Educación, Desigualdad, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Trabajo, Tecnofeminismo	Inglés	Escriben múltiples autorxs (femeninos y masculinos)
TOMASSINI URTI, C.	2019, 25 de junio	Desigualdades de género en la ciencia académica: un tema molesto	HEMISFERIO IZQUIERDO	https://www.hemisferioizquierdo.uy/single-post/2019/06/25/Desigualdades-de-genero-en-la-ciencia-academica-un-tema-molesto	Acceso a oportunidades, Educación, Estereotipos/ prejuicios de género, Desigualdad, Discriminación, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Trabajo	Español	Femenino
Johnson, B.	2019, 10 de abril	Cada vez más voces urgen que la IA se diseñe desde la sociología	MIT Technology Review	https://www.technologyreview.es/s/11049/cada-vez-mas-voces-urgen-que-la-ia-se-disene-desde-la-sociologia	Estereotipos/ prejuicios de género, Discriminación, Inteligencia Artificial, Sesgo algorítmico	Español	Masculino
Pavez, I.	2015, diciembre	Niñas y mujeres de américa latina en el mapa tecnológico: una mirada de género en el marco de políticas públicas de inclusión digital	Cuaderno SITEAL	http://www.tic.siteal.iipe.unesco.org/sites/default/files/stic_publicacion_files/tic_cuaderno_genero_20160210.pdf	Acceso a oportunidades, Diversidad, Educación, Desigualdad, Discriminación, Efectos psicológicos de la desigualdad de género, Estadísticas, Políticas públicas, Objetivos de Desarrollo Sostenible (ODS), Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Prácticas de inclusión, Recomendaciones de organismos, Violencia de género, Tecnofeminismo	Español	Femenino
Gaido, P.	2019, 1 de julio	Mujeres directivas en fintech: cuatro experiencias para destacar en latinoamerica	Fintech	https://www.reportefintech.com/mujeres-directivas-fintech-cuatro-experiencias-latinoa merica/	Acceso a puestos de liderazgo, Ámbito privado, Cultura empresarial, Estereotipos/ prejuicios de género, Estrategias para la equidad, Mujeres referentes, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas)	Español	Femenino
Justo Suárez, C.	2008	JUDITH WAJCMAN (2006). El tecnofeminismo - (Reseña)	Revista de Metodología de Ciencias Sociales.	https://dialnet.unirioja.es/descarga/articulo/3141545.pdf 	Feminismos, Tecnofeminismo	Español	Femenino
Kersey, A., Braham, E., Csumitta, K., Libertus, M. y Cantlon,  J.	2018	No intrinsic gender differences in children’s earliest numerical abilities	Nature - NPJ Science Learning	"16.	https://www.nature.com/articles/s41539-018-0028-"	Educación, Niñez, Estadísticas, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas)	Inglés	Femenino
Cervera, A.	2019, 27 de junio	Mujeres en la programación. Capítulo 2: 40’s y 50’s	Datasketch	http://www.datasketch.news/p/mujeres-en-la-programacion-capitulo-2-40s-y-50s	Mujeres referentes, Techo de cristal, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Tecnofeminismo	Español	Femenino
Sin datos	2018, 4 de diciembre	El primer mapa fintech en el país. Se presentó el informe elaborado por la Cámara Argentina de Fintech	Reporte Fintech	https://www.reportefintech.com/primer-mapa-fintech-pais-se-presento-informe-elaborado-la-camara/	Ámbito privado, Estadísticas, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Trabajo	Español	Organismos
Malmstrom, M., Johansson, J., y Wincent, J.	2017, 17 de mayo	We Recorded VCs’ Conversations and Analyzed How Differently They Talk About Female Entrepreneurs	Harvard Business Review	https://hbr.org/2017/05/we-recorded-vcs-conversations-and-analyzed-how-differently-they-talk-about-female-entrepreneurs	Acceso a oportunidades, Acceso a puestos de liderazgo, Estereotipos/ prejuicios de género, Desigualdad, Estadísticas, Trabajo, Emprendimientos	Inglés	Escriben múltiples autorxs (femeninos y masculinos)
García Cienfuegos, B.	2018, 11 de diciembre	Queremos más mujeres en ciencias y en la ingeniería	Iberoamérica Divulga	https://www.oei.es/historico/divulgacioncientifica/?Queremos-mas-mujeres-en-ciencias-y-en-la-ingenieria	Acceso a oportunidades, Acceso a puestos de liderazgo, Brecha salarial, Estadísticas, Políticas públicas, Recomendaciones de organismos	Español	Femenino
Macías-González, G.,  Caldera-Monte, J., Salán-Ballesteros, M. 	2019	Orientación vocacional en la infancia y aspiraciones de carrera por género	Convergencia	https://convergencia.uaemex.mx/article/view/10516/9711	Educación, Estereotipos/ prejuicios de género, Niñez	Español	Escriben múltiples autorxs (femeninos y masculinos)
Piñero, A.	2019, 8 de marzo	Niñas = Niños. Cambiando los estereotipos de género en STEAM	Enfoque Educación	https://blogs.iadb.org/educacion/es/ninas-varones-cambiando-los-estereotipos-de-genero-en-steam/	Acceso a oportunidades, Estereotipos/ prejuicios de género, Mujeres referentes, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas)	Español	Femenino
Iberoamérica, D.	2016, 15 de mayo	¿La ciencia tiene sexo? ... estudio sobre actitudes e intereses en la ciencia por género	Iberoamérica divulga.	https://www.oei.es/historico/divulgacioncientifica/?La-ciencia-tiene-sexo-estudio-sobre-actitudes-e-intereses-en-la-ciencia-por	Acceso a oportunidades, Ámbito público, Educación, Estrategias para la equidad, Políticas públicas, Objetivos de Desarrollo Sostenible (ODS), Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Prácticas de inclusión	Español	Escriben múltiples autorxs (femeninos y masculinos)
Gaido P.	2019, 11 de marzo	Mujeres en el ecosistema Fintech argentino: una deuda pendiente	Fintech	. https://www.reportefintech.com/mujeres-ecosistema-fintech-argentino-una-deuda-pe ndiente/	Acceso a oportunidades, Ámbito privado, Cultura empresarial, Estrategias para la equidad, Estadísticas, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Prácticas de inclusión, Trabajo	Español	Femenino
Flores Lazo, E.	2017, 6 de octubre	La igualdad de Género: más allá del salón de clases	Iberoamérica Divulga	https://www.oei.es/historico/divulgacioncientifica/?La-igualdad-de-Genero-mas-alla-del-salon-de-clases	Educación, Estereotipos/ prejuicios de género, Desigualdad, Discriminación, Estrategias para la equidad, Prácticas Educativas	Español	Masculino
Scissons, A.	2018	Cómo la diversidad puede eliminar el sesgo cultural de la Inteligencia Artificial	Mercer	https://www.latam.mercer.com/our-thinking/voice-on-growth/diversidad-sesgo-cultural-inteligencia-artificial.html	Acceso a oportunidades, Cultura empresarial, Diversidad, Educación, Estereotipos/ prejuicios de género, Datos abiertos, Desigualdad, Discriminación, Efectos psicológicos de la desigualdad de género, Efectos en la salud de la desigualdad de género, Estrategias para la equidad, Estadísticas, Techo de cristal, Políticas públicas, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Prácticas de inclusión, Salud mental, Trabajo	Español	Femenino
Lauer, M.	julio de 2015	Achieving Gender Equity at Conferences	National institutes of health	https://nexus.od.nih.gov/all/2019/07/22/achieving-gender-equity-at-conferences/	Acceso a oportunidades, Cultura empresarial, Diversidad, Estereotipos/ prejuicios de género, Desigualdad, Efectos psicológicos de la desigualdad de género, Feminismos, Prácticas de inclusión, Recomendaciones de organismos, Tecnofeminismo	Inglés	Masculino
Pérez Sedeño, E.	2018	A sociological study of gender and astronomy  in Spain	Nature	https://www.nature.com/articles/s41550-018-0509-x.epdf?shared_access_token=Gzwx7SX-pQi966Epgvppu9RgN0jAjWel9jnR3ZoTv0N-g7sc6h8KGH1GwGy8v6q77LyOBn6riTOuv4fFgnFhHfrfx51aTTWNEHCRvkMj66npgRFYeGMJpzCb	Estadísticas, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas)	Inglés	Escriben múltiples autorxs (femeninos y masculinos)
