Apellido de Autor/a	Nombre de usuario	Fecha	Título	Recuperado de (Link)	Etiquetas	Idioma	Género del Autor/a																	
González, M.	TED en Español	2016, mayo 26.	Sexualidad y roles de género en primates y seres humanos	https://www.youtube.com/watch?v=U9f_giDROv4	Educación, Estereotipos/ prejuicios de género, Desigualdad, Efectos en la salud de la desigualdad de género, Estadísticas	Español	Femenino																	
"Cucuzza, G.; Wachenchauzer, R.; Bonder, G."	CatunescocytFLACSO	2016, febrero 10.	Innovar la educación en informática con igualdad de género: Conversaciones para abrir caminos.	https://youtube.com/watch?v=r3G-sWw4Ihk	Educación, Estereotipos/ prejuicios de género, Niñez, Desigualdad, Prácticas de inclusión	Español	Escriben múltiples autorxs (femeninos y masculinos)																	
Masnatta, M.	TEDxRiodelaPlata	2019, Mayo.	Recuperando el rol de las mujeres en la tecnología	https://www.ted.com/talks/melina_masnatta_recuperar_el_rol_de_las_mujeres_en_la_tecnologia	Diversidad, Educación, Estereotipos/ prejuicios de género, Niñez, Desigualdad, Mujeres referentes, Techo de cristal, Prácticas de inclusión, Trabajo	Español	Femenino																	
Gaba, M. 	RedWIM	2018, marzo 27.	Deconstruyendo el privilegio: trabajando los sesgos de género	https://www.youtube.com/watch?v=Yd0nTgIOtTM&feature=youtu.be&fbclid=IwAR1Y1afqWxK4d94Tlm_fuPXrW3Gg32dFSgjyW0RmyA2Y6aMW0LTTT3mG7Cs	Cultura empresarial, Desigualdad, Discriminación	Español	Masculino																	
Heller, L.	RedWIM	2018, marzo 26.	Carrera al liderazgo: Autoridad, Poder, Empoderamiento	https://www.youtube.com/watch?v=MAXxnq4wJWg&feature=youtu.be&fbclid=IwAR1u5tnBYm9dOH32jRPfVNUxD3XjzWyA8-AYj684JtKzWdV10Pmp1FRunn8	Acceso a puestos de liderazgo, Techo de cristal	Español	No puedo determinarlo																	
Furman, M.	OEI	2018, mayo 28.	Melina Furman nos habla sobre las brechas y barreras de las niñas en la ciencia y tecnología	https://www.youtube.com/watch?v=uRC7JIvdf1I	Educación, Estereotipos/ prejuicios de género, Niñez, Estadísticas	Español	Femenino																	
Gaba, M. 	Fundación Esquel	2019, julio 10.	Desafíos para la incorporación del enfoque de género en las organizaciones de trabajo	https://www.youtube.com/watch?v=q7uMefXqHPM	Acceso a puestos de liderazgo, Brecha salarial, Cultura empresarial, Diversidad, Estereotipos/ prejuicios de género, Desigualdad, Discriminación, Efectos psicológicos de la desigualdad de género, Efectos en la salud de la desigualdad de género, Estrategias para la equidad, Equidad salarial, Estadísticas, Feminismos, Políticas públicas, Prácticas de inclusión, Recomendaciones de organismos, Salud mental, Violencia de género, Tecnofeminismo	Español	Femenino																	
Salomón, R.	LGPlay Tucumán	2019, abril 12.	LA OTRA PREGUNTA: entrevista a Rosana Hadad Salomón	https://www.youtube.com/watch?v=_r9NoL7w640	Acceso a oportunidades, Ámbito público, Diversidad, Educación, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Trabajo	Español	Organismos																	
Sin datos	CatunescocytFLACSO	2019, julio 4.	Mujeres por Ingeniería	https://www.youtube.com/watch?v=NOC2FyNR4r4&feature=youtu.be	Acceso a oportunidades, Educación, Estrategias para la equidad	Español	Femenino																	
Gaba, M. 	RedWIM	2018, septiembre 24.	Sesgos de Género en las organizaciones	https://youtu.be/Qf4fLzcwYl0	Acceso a puestos de liderazgo, Brecha salarial, Educación, Estereotipos/ prejuicios de género, Desigualdad, Efectos psicológicos de la desigualdad de género, Equidad salarial, Estadísticas, Trabajo	Español	Organismos																	
